trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240101,900,9613,10620
20240101,910,1254,1438
20240101,920,1685,1934
20240101,930,4718,5507
20240101,940,1737,2187
20240101,950,1552,1745
20240101,960,7909,9701
20240101,970,5299,6405
20240101,980,13571,12546
20240101,990,17270,15291
20240101,1000,87019,70271
20240101,1010,4352,4799
20240101,1020,31611,30330
20240101,1030,2282,2674
20240101,1040,13565,16430
20240101,1050,1111,1420
20240101,1060,1568,1842
20240101,1070,7930,8964
20240101,1080,29562,35101
20240101,1090,7668,10758
20240101,1100,27922,34026
20240101,1110,4930,6161
20240101,1120,4267,5789
20240101,1130,1790,2056
20240101,1140,246,270
20240101,1150,622,849
20240101,1160,3400,4155
20240101,1170,6040,9421
20240101,1180,4742,5717
20240101,1190,1766,2220
20240101,1191,275,356
20240101,1192,1423,3285
20240101,1193,773,1446
20240101,1194,5986,2895
20240101,1201,87,85
20240101,1202,2240,247
20240101,1203,631,666
20240101,1204,113,102
20240101,1205,65,71
20240101,1206,163,302
20240101,1207,108,2114
20240101,1208,1320,1212
20240101,1210,24603,27698
20240101,1220,977,1386
20240101,1230,601,605
20240101,1240,258,281
20240101,1250,9513,10393
20240101,2110,50,35
20240101,2120,69,70
20240101,2130,852,1792
20240101,2140,12,21
20240101,2150,1231,1135
20240101,2160,80,57
20240101,2170,1117,826
20240101,2180,1811,1581
20240101,2190,401,392
20240101,2200,4374,3814
20240101,2210,119,88
20240101,2220,2020,1523
20240101,2230,4196,4596
20240101,2240,731,650
20240101,2250,2320,867
20240101,2260,9730,2224
20240101,3140,370,376
20240101,3150,1716,1115
20240101,3160,5937,6445
20240101,3170,108,175
20240101,3180,1183,1185
20240101,3190,903,758
20240101,3210,830,674
20240101,3220,2789,2903
20240101,3230,11541,10722
20240101,3240,991,993
20240101,3250,2886,3072
20240101,3260,812,752
20240101,3270,3793,2873
20240101,3280,2682,2581
20240101,3290,1744,2000
20240101,3300,42902,42427
20240101,3310,1725,2053
20240101,3320,3388,3209
20240101,3330,935,1000
20240101,3340,13140,12456
20240101,3350,2657,11707
20240101,3360,17907,19253
20240101,3370,1604,1503
20240101,3380,964,1135
20240101,3390,9811,8474
20240101,3400,849,592
20240101,3410,1274,1206
20240101,3420,3418,2683
20240101,3430,1569,1261
20240101,3431,21,126
20240101,3432,142,232
20240101,3433,23,185
20240101,3434,1338,414
20240101,3435,138,252
20240101,3436,234,346
20240101,3450,1136,805
20240101,3460,303,267
20240101,3470,8343,8995
20240101,3480,3125,2935
20240101,3490,199,144
20240101,4050,1750,2679
20240101,4060,2147,3729
20240101,4070,733,674
20240101,4080,15071,14287
20240101,4090,921,808
20240101,4100,335,214
20240101,4110,683,590
20240101,4120,6190,5199
20240101,4130,417,1000
20240101,4140,593,495
20240101,4150,1187,1611
20240101,4160,157,169
20240101,4170,3318,4069
20240101,4180,802,1401
20240101,4190,2120,2943
20240101,4200,14583,7405
20240101,4210,2543,4425
20240101,4220,35408,34278
20240101,4250,4361,14038
20240101,4260,889,1249
20240101,4270,414,574
20240101,4271,278,876
20240101,4272,6184,5851
20240101,4290,996,1221
20240101,4300,1455,1692
20240101,4310,3219,3710
20240101,4320,1824,1777
20240101,4330,2417,3220
20240101,4340,18484,20682
20240101,4350,839,846
20240101,4360,791,770
20240101,4370,1327,1336
20240101,4380,770,747
20240101,4390,702,662
20240101,4400,22059,18388
20240101,4410,828,888
20240101,4420,1750,1705
20240101,4430,1147,1254
20240101,4440,7146,7920
20240101,4450,672,677
20240101,4460,1258,1387
20240101,4470,93,99
20240101,5000,13796,14055
20240101,5010,284,347
20240101,5020,262,212
20240101,5030,1005,997
20240101,5040,351,342
20240101,5050,5861,4974
20240101,5060,56,55
20240101,5070,620,717
20240101,5080,24,16
20240101,5090,735,505
20240101,5100,212,130
20240101,5110,83,388
20240101,5120,2108,1511
20240101,5130,321,17
20240101,5140,14,11
20240101,5160,16,11
20240101,5190,320,243
20240101,5200,54,35
20240101,5210,659,420
20240101,5220,454,261
20240101,5230,1275,1286
20240101,5240,30,28
20240101,6000,16737,8157
20240101,6010,8,17
20240101,6020,331,183
20240101,6030,24,25
20240101,6040,19,17
20240101,6050,950,603
20240101,6060,9,5
20240101,6070,1178,592
20240101,6080,303,184
20240101,6090,12,27
20240101,6100,21,21
20240101,6110,2255,1661
20240101,6120,7,23
20240101,6130,1572,624
20240101,6140,52,25
20240101,6150,25,14
20240101,6160,688,796
20240101,6170,51,43
20240101,6180,436,327
20240101,6190,27,15
20240101,6200,73,59
20240101,6210,48,49
20240101,6220,504,647
20240101,6230,22,18
20240101,6240,268,1435
20240101,6250,874,710
20240101,7000,23901,16369
20240101,7010,119,137
20240101,7020,9,2
20240101,7030,754,689
20240101,7040,42,33
20240101,7050,32,35
20240101,7060,677,540
20240101,7070,15,9
20240101,7080,18,6
20240101,7090,843,556
20240101,7100,195,115
20240101,7110,14,11
20240101,7120,560,600
20240101,7130,662,707
20240101,7150,588,568
20240101,7160,7885,7432
20240101,7170,61,66
20240101,7180,182,161
20240101,7190,6520,6293
20240101,7200,172,135
20240101,7210,3747,3003
20240101,7220,77,84
20240101,7230,1401,1077
20240101,7240,222,192
20240101,7250,105,77
20240101,7260,259,243
20240101,7270,548,389
20240101,7280,35,30
20240101,7290,1328,1136
20240101,7300,143,172
20240101,7310,658,613
20240101,7320,267,410
20240101,7330,460,279
20240101,7331,19,14
20240101,7332,2297,2275
20240101,7333,18,28
20240101,7334,32,17
20240101,7335,561,532
20240101,7336,530,490
20240101,7350,1550,1575
20240101,7360,6145,6874
20240101,7361,102,123
20240101,7362,325,326
20240101,7380,550,617
20240101,7390,414,468
20240102,900,9172,8784
20240102,910,1557,1633
20240102,920,2718,2463
20240102,930,6866,6779
20240102,940,2917,2959
20240102,950,2670,2149
20240102,960,11772,12507
20240102,970,13824,14139
20240102,980,15883,16399
20240102,990,19833,20275
20240102,1000,61789,64232
20240102,1010,5289,5269
20240102,1020,23852,24700
20240102,1030,3725,3775
20240102,1040,14659,14863
20240102,1050,1443,1413
20240102,1060,1779,1768
20240102,1070,9124,9292
20240102,1080,27189,28245
20240102,1090,10323,10257
20240102,1100,23022,24894
20240102,1110,6423,6164
20240102,1120,5346,4958
